OBJECTID,Feature Type,Feature Subtype,Feature Name,Administrative Unit Code,Administrative State,DESCRIPTION,WEB_LINK,PHOTO_TEXT,UNIT_NAME,SOURCE,WEB_DISPLAY,PHOTO_LINK,PHOTO_THUMB,GlobalID,Original_GlobalID,Latitude,Longitude,x,y
89685,3,Campsite - Primitive - Non Reservable - No Fee,Trapper Creek Recreation Site,IDT02000,ID,,,,,,YES,,,2db8fcb5-16cf-4339-8397-8ed1f6243977,{A2DBCBA3-243D-4A37-B494-D6E086F8FFB2},42.17783333,-113.95978333,-113.959783333,42.1778333340001
89687,2,Boat Launch,Murtaugh Boat Launch,IDT03000,ID,,,,,,YES,,,a20a6644-34ca-4c58-9f0c-7fd9bfc5aff5,{E982EF45-32F2-4D62-8CF7-E144AC8C50B0},42.49958,-114.15173,-114.15173,42.49958
89688,4,Picnic Area,Hawley Mountain Public Access,IDI01000,ID,,,,,,YES,,,95648d75-67cc-4330-ba32-0e63307745bb,{6B1F9A14-C3DB-4EAE-803C-991B27A3AFE2},44.14736316,-113.35960358,-113.359603582,44.1473631600001
89689,3,Campsite - Primitive - Non Reservable - No Fee,Fisher Bottom Recreation Site,IDI01000,ID,,,,,,YES,,,8503ef3b-4ad6-4273-80e4-8fef1b2537f6,{79AE9CAB-2527-439A-8110-5E932F77B6C8},43.58913439,-111.47716698,-111.477166977,43.5891343920001
89691,3,Campsite - Developed - Non Reservable - Fee,Slate Creek Recreation Site,IDC02000,ID,,,,,,YES,,,aea12980-7114-444a-ad72-09e09af5422d,{79FDB68E-9D31-4FFF-9C2A-5EC9F1598A21},45.64658447,-116.2930974,-116.293097404,45.646584467
89692,7,Access Point,Halverson Bar Trailhead,IDB01100,ID,Trailhead to the Halverson Bar Trail.,http://www.blm.gov/id/st/en/visit_and_play/places_to_see/morley_nelson_snake/halverson_bar_trail.html,,Morley Nelson Snake River Birds of Prey National,,YES,,https://c1.staticflickr.com/1/307/18360620319_51bd2e549c_m.jpg,9ae0fb75-2d6e-4ef8-9858-d9b4da6c635f,{9C3C85A5-FA95-4141-AE26-9C675AE6A1DF},43.29432666,-116.51252261,-116.510230988,43.291186456
89693,4,Point of Interest,Halverson Lake,IDB01100,ID,"Halverson Lake is a pond nestled along the canyon wall with opportunities for camping, hiking, backpacking, biking, horseback riding, hunting, picnicking and scenic/wildlife viewing and provides a small oasis in the desert.",http://www.blm.gov/id/st/en/visit_and_play/places_to_see/morley_nelson_snake/halverson_bar_trail.html,,Morley Nelson Snake River Birds of Prey National,,YES,,https://c1.staticflickr.com/1/371/18520404506_cb7345a44d_m.jpg,199c2b07-bb09-426e-936f-6d04484a08ab,{340102FB-FA7C-4000-8255-1D718D01E728},43.29162,-116.49463,-116.494629999,43.2916200000001
89694,7,Access Point,Box Canyon Rock Climbing,IDI01000,ID,,,,,,YES,,,f7287de9-e396-43ac-b5e0-965ba39d7f18,{5ABB8AED-638F-4881-8C93-C779ADF6652A},43.8627454,-112.92008273,-112.920082731,43.862745396
89695,10,Campground,Lava Recreation Site,IDT03000,ID,,,,,,YES,,,fb2cdfa1-e58c-4a41-858c-c3078677d362,{983A2D13-5B4D-4FE7-97BF-964F2AA46058},43.28885,-114.40043333,-114.400433334,43.2888500010001
89696,7,Trail Head,North Menan Butte Trailhead,IDI01000,ID,,,,,,YES,,,1cf9a818-b400-45ea-bb29-63d211e762e3,{F9655CA1-84E0-4C5C-84CD-C910DCD545D0},43.78552609,-111.99006118,-111.990061178,43.7855260860001
