OBJECTID,Facility Type,Facility Name,Park Name,Park Region,DATA SOURCE,CREATE_DATE,DATA CREATOR EDITOR,SITEID,COMMENTS,GlobalID,x,y
1095,Campsite,15 (ADA),Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,76b1fecc-518c-41f7-af22-4bb795849ccf,-12635104.4203261,5961397.95358697
1096,Campsite,16 (ADA),Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,56148c6b-8c6d-408c-b892-b7d3a3e6fc57,-12635095.7335001,5961321.71642769
1097,Picnic Shelter,,Placid Lake,2,HANSEN GPS DATA,8/10/2015 12:00:00 AM,HANSEN,280895,,9d3f7db8-0688-4263-99a9-7962d8d5bdd4,-12635066.0151761,5961311.41891725
1098,Campsite,Sand Point,Tongue River Reservoir,5,DIGITIZED,3/18/2016 12:00:00 AM,HANSEN,283967,Digitized from NAIP imagery and Park Manager notes,8da16e7b-ddf2-43c0-ba0d-cb2a538fc937,-11886628.1535273,5639301.70665036
1099,Historic Building,Unknown,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,0136adca-deca-45f0-bd86-efe3a10a2729,-12578497.1732791,5646854.87895513
1100,Historic Building,Mathews House,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,5270de68-272c-4819-b182-61055565ffb6,-12578940.6226304,5647016.97248691
1101,Historic Building,Underwood Blacksmith Shop,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,52b23965-97a9-4a59-99ef-7d012440c5bd,-12578934.4769269,5646976.9210372
1102,Historic Building,Ryburn House,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,dcd24935-451d-4f20-b4cf-ac3f9f2b103b,-12578887.2419731,5647007.52673452
1103,Historic Building,Unknown,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,bb1ca508-54a0-4624-a026-7cdbd274b0e9,-12578895.6956044,5646995.36393999
1104,Historic Building,Carrhart House / Herseth House,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,398c25b8-6102-46af-89a8-522ea358614b,-12578875.4560653,5646977.91570483
1105,Historic Building,Unknown,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,308b4a86-bf21-42f8-90c3-ff108fbecba4,-12578884.9063111,5646960.67582123
1106,Historic Building,Unknown,Bannack,3,buildings layer,4/8/2016 12:00:00 AM,HANSEN,281798,Aligned with NAIP imagery and Park Manager notes,7cfe20be-2280-4a19-a9d7-d7566e59bc2f,-12578888.3683869,5646955.33952101
